"loanamount","Population","loantype"
271,824,"Conventional"
190,800,"VA"
251,286,"Conventional"
417,806,"VA"
302,270,"FHA"
412,889,"FHA"
626,651,"Conventional"
313,631,"Conventional"
452,793,"VA"
640,823,"Conventional"
222,628,"Conventional"
293,964,"FHA"
284,700,"Conventional"
202,379,"Conventional"
336,935,"Conventional"
346,675,"VA"
367,384,"FHA"
134,962,"Conventional"
25,502,"Conventional"
280,735,"Conventional"
311,683,"FHA"
294,736,"Conventional"
603,781,"VA"
606,922,"FHA"
500,233,"VA"
476,558,"Conventional"
267,493,"Conventional"
760,483,"Conventional"
264,594,"Conventional"
332,704,"Conventional"
310,882,"VA"
350,176,"VA"
112,163,"Conventional"
196,316,"FHA"
359,850,"VA"
339,815,"VA"
262,800,"Conventional"
413,838,"VA"
277,668,"Conventional"
267,385,"FHA"
300,329,"Conventional"
289,615,"VA"
584,379,"Conventional"
582,687,"Conventional"
170,862,"Conventional"
217,814,"FHA"
191,629,"VA"
190,643,"Conventional"
355,810,"Conventional"
202,322,"FHA"
150,859,"Conventional"
96,364,"VA"
214,844,"Conventional"
375,401,"FHA"
142,309,"Conventional"
386,795,"FHA"
20,279,"Conventional"
174,420,"VA"
418,572,"VA"
496,910,"Conventional"
248,782,"Conventional"
320,939,"Conventional"
332,812,"Conventional"
407,521,"FHA"
1098,349,"Conventional"
249,959,"Conventional"
212,349,"Conventional"
140,146,"Conventional"
415,547,"FHA"
172,468,"Conventional"
503,386,"VA"
519,704,"Conventional"
417,953,"Conventional"
476,188,"FHA"
218,970,"Conventional"
163,520,"Conventional"
483,852,"VA"
309,955,"Conventional"
509,50,"FHA"
307,822,"VA"
85,504,"Conventional"
740,94,"Conventional"
272,535,"Conventional"
253,145,"Conventional"
375,646,"Conventional"
356,885,"Conventional"
78,62,"Conventional"
318,690,"Conventional"
508,52,"Conventional"
228,591,"Conventional"
192,519,"Conventional"
349,206,"FHA"
38,351,"Conventional"
242,621,"Conventional"
533,886,"VA"
354,795,"Conventional"
245,519,"FHA"
198,709,"FHA"
